rownames,REGION,SPECIES,TYPE,HABITAT,FGUILD,LengthGroup,TaxonGroup,YEAR,BIOMASS,LANDINGS,NumSpecies
2302,GB,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1982,51507.61124,53061.33925,1
2303,GB,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1982,159.9561842,125.6280056,1
2304,GB,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1982,14175.6303,7736.011211,1
2305,GB,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1982,2439.52125,879.2993306,1
2306,GB,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1982,2.595470588,0.960561778,1
2307,GB,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1982,3744.440063,207.8396343,1
2308,GB,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1982,2034.775055,1466.371888,1
2309,GB,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1982,49509,14286.81529,1
2310,GB,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1982,5228.841867,1748.411626,1
2311,GB,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1982,3314.756323,46.27921818,1
2312,GB,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1982,3627.25367,3314.756323,1
2313,GB,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1982,6592.0783,91.41879677,1
2314,GB,Scup,Fish,Demersal,Benthivore,Small,Other,1982,915.3942,13.24746408,1
2315,GB,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1982,1744.941667,4354.364077,1
2316,GB,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1982,213158.8109,10.93729264,1
2317,GB,Smooth dogfish,Fish,Demersal,Benthivore,Large,Elasmobranch,1982,100.1758333,48,1
2318,GB,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1982,37194.85814,1.594652896,1
2319,GB,Summer flounder,Fish,Demersal,Piscivore,Medium,Pleuronectid,1982,3992.1355,434.0145568,1
2320,GB,Windowpane,Fish,Demersal,Benthivore,Medium,Pleuronectid,1982,8247.584407,353.3854933,1
2321,GB,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1982,16300,5081.274564,1
2322,GB,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1982,778.1294444,121.0537454,1
2323,GB,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1982,12975,10625.50562,1
2324,GB,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1983,1977.983808,548.3695619,1
2325,GB,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1983,13562.7197,482.1755259,1
2326,GB,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1983,48521.66276,27926.15664,1
2327,GB,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1983,1299.928053,124.8143259,1
2328,GB,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1983,5793.702592,1873.192272,1
2329,GB,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1983,1073.36675,2606.466361,1
2330,GB,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1983,37.319,9.083134405,1
2331,GB,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1983,2110.16975,196.7759551,1
2332,GB,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1983,5769.696299,910.2282291,1
2333,GB,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1983,38688,10113.94175,1
2334,GB,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1983,9685.680933,2445.137927,1
2335,GB,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1983,8386.506581,86.94507195,1
2336,GB,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1983,3975.522373,8386.506581,1
2337,GB,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1983,5873.63664,39.88080149,1
2338,GB,Scup,Fish,Demersal,Benthivore,Small,Other,1983,1268.5562,1.053791913,1
2339,GB,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1983,235.6907333,1380.674625,1
2340,GB,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1983,383908.5814,34.83549254,1
2341,GB,Smooth dogfish,Fish,Demersal,Benthivore,Large,Elasmobranch,1983,96.6441,7,1
2342,GB,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1983,53316.80487,0,1
2343,GB,Summer flounder,Fish,Demersal,Piscivore,Medium,Pleuronectid,1983,6571.46225,509.0293859,1
2344,GB,Windowpane,Fish,Demersal,Benthivore,Medium,Pleuronectid,1983,8927.657909,573.2772461,1
2345,GB,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1983,15077,5073.830152,1
2346,GB,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1983,562.0716667,62.99039695,1
2347,GB,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1983,11103,12627.94247,1
2348,GB,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1984,1000.815154,460.2047483,1
2349,GB,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1984,3499.1161,363.13449,1
2350,GB,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1984,76888.1733,24283.52718,1
2351,GB,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1984,48.34855263,59.49417801,1
2352,GB,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1984,19773.23934,7316.859769,1
2353,GB,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1984,300.22325,79.73092897,1
2354,GB,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1984,82.33564706,17.31990326,1
2355,GB,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1984,4078.141938,207.0330928,1
2356,GB,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1984,3383.256947,1422.086177,1
2357,GB,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1984,26982,8701.731167,1
2358,GB,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1984,8516.609733,1701.470411,1
2359,GB,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1984,6760.068,266.7530547,1
2360,GB,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1984,3192.688687,6760.068,1
2361,GB,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1984,2658.31826,17.34618837,1
2362,GB,Scup,Fish,Demersal,Benthivore,Small,Other,1984,186.6982,0.673166492,1
2363,GB,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1984,817.2032,1555.735605,1
2364,GB,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1984,366583.4162,66.06014655,1
2365,GB,Smooth dogfish,Fish,Demersal,Benthivore,Large,Elasmobranch,1984,16.64666667,19,1
2366,GB,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1984,80223.19133,0,1
2367,GB,Summer flounder,Fish,Demersal,Piscivore,Medium,Pleuronectid,1984,4596.1925,1183.642316,1
2368,GB,Windowpane,Fish,Demersal,Benthivore,Medium,Pleuronectid,1984,36030.38082,1168.682602,1
2369,GB,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1984,10058,9668.982902,1
2370,GB,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1984,947.8402222,143.0073754,1
2371,GB,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1984,3847,6029.306664,1
2372,GB,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1985,1604.558846,462.5591631,1
2373,GB,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1985,20366.79665,746.8847305,1
2374,GB,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1985,26127.04918,23566.27676,1
2375,GB,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1985,41.72947368,60.87862533,1
2376,GB,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1985,12419.17722,4941.226477,1
2377,GB,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1985,39569.87575,14807.709,1
2378,GB,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1985,48.03267647,6.049480343,1
2379,GB,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1985,7709.717938,168.1123837,1
2380,GB,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1985,4326.614554,2150.274459,1
2381,GB,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1985,20046,6418.422083,1
2382,GB,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1985,10175.52383,1581.695163,1
2383,GB,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1985,6953.845194,234.9468107,1
2384,GB,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1985,2363.156783,6953.845194,1
2385,GB,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1985,5764.16874,12.52642308,1
2386,GB,Scup,Fish,Demersal,Benthivore,Small,Other,1985,6337.7182,2.07817548,1
2387,GB,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1985,380.201,738.0961587,1
2388,GB,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1985,532207.0733,0,1
2389,GB,Smooth dogfish,Fish,Demersal,Benthivore,Large,Elasmobranch,1985,605.3629,57,1
2390,GB,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1985,83675.0904,29.28537422,1
2391,GB,Summer flounder,Fish,Demersal,Piscivore,Medium,Pleuronectid,1985,2845.663,740.9266435,1
2392,GB,Windowpane,Fish,Demersal,Benthivore,Medium,Pleuronectid,1985,15319.80055,1578.962764,1
2393,GB,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1985,5573,5910.586018,1
2394,GB,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1985,551.3534444,71.19551234,1
2395,GB,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1985,2558,2958.258936,1
2396,GB,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1986,725.7508077,202.2696694,1
2397,GB,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1986,8894.5003,432.8481188,1
2398,GB,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1986,35084.89461,20088.13612,1
2399,GB,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1986,427.8205219,5.025342027,1
2400,GB,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1986,7035.478638,2260.865031,1
2401,GB,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1986,1393.15025,1382.896616,1
2402,GB,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1986,501.2063824,31.31091743,1
2403,GB,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1986,6313.9155,143.0236456,1
2404,GB,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1986,4858.42531,1268.02208,1
2405,GB,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1986,21016,4523.567848,1
2406,GB,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1986,14251.73997,3005.678799,1
2407,GB,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1986,4181.46229,91.51208793,1
2408,GB,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1986,8418.332788,4181.454994,1
2409,GB,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1986,4892.0622,6.56749868,1
2410,GB,Scup,Fish,Demersal,Benthivore,Small,Other,1986,548.9194,2.823174784,1
2411,GB,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1986,517.5941667,1516.089105,1
2412,GB,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1986,434427.5304,1.352200575,1
2413,GB,Smooth dogfish,Fish,Demersal,Benthivore,Large,Elasmobranch,1986,223.4807333,35,1
2414,GB,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1986,88070.66101,0,1
2415,GB,Summer flounder,Fish,Demersal,Piscivore,Medium,Pleuronectid,1986,4897.89025,381.7941251,1
2416,GB,Windowpane,Fish,Demersal,Benthivore,Medium,Pleuronectid,1986,17934.41988,1653.097706,1
2417,GB,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1986,6828,5028.592626,1
2418,GB,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1986,491.9876667,90.65845174,1
2419,GB,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1986,3210,3819.690769,1
2420,GB,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1987,1258.767462,361.469629,1
2421,GB,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1987,929.93765,90.33715176,1
2422,GB,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1987,32845.43326,21537.85406,1
2423,GB,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1987,945.2280263,5.182966556,1
2424,GB,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1987,21466.91829,7138.709544,1
2425,GB,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1987,1650.497,320.5322726,1
2426,GB,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1987,43.6125,2.515617297,1
2427,GB,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1987,3250.17225,101.8409042,1
2428,GB,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1987,1731.845906,1063.34131,1
2429,GB,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1987,20838,4669.406532,1
2430,GB,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1987,2624.641533,888.996808,1
2431,GB,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1987,3707.793097,493.3238371,1
2432,GB,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1987,1590.070478,3694.495021,1
2433,GB,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1987,4942.59192,37.34534818,1
2434,GB,Scup,Fish,Demersal,Benthivore,Small,Other,1987,519.5852,0.30095937,1
2435,GB,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1987,1484.456,814.2099241,1
2436,GB,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1987,394022.6986,280.4805332,1
2437,GB,Smooth dogfish,Fish,Demersal,Benthivore,Large,Elasmobranch,1987,65.0606,1.0091,1
2438,GB,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1987,115450.8714,0,1
2439,GB,Summer flounder,Fish,Demersal,Piscivore,Medium,Pleuronectid,1987,5067.84375,312.4682937,1
2440,GB,Windowpane,Fish,Demersal,Benthivore,Medium,Pleuronectid,1987,10792.89269,1515.731919,1
2441,GB,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1987,7519,4251.521685,1
2442,GB,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1987,604.8184444,186.3607865,1
2443,GB,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1987,2750,3164.661362,1
2444,GB,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1988,732.5371923,165.3845803,1
2445,GB,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1988,7805.9701,206.046912,1
2446,GB,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1988,43296.25293,26585.67419,1
2447,GB,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1988,10.40952632,8.713044167,1
2448,GB,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1988,49307.05378,17865.64472,1
2449,GB,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1988,363.28725,127.5558143,1
2450,GB,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1988,40.71502941,1.512917129,1
2451,GB,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1988,4811.828813,90.30409177,1
2452,GB,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1988,2835.797055,2284.00241,1
2453,GB,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1988,19775,5333.633679,1
2454,GB,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1988,7903.407267,1795.812312,1
2455,GB,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1988,8412.560484,658.0513456,1
2456,GB,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1988,9135.572702,8400.449355,1
2457,GB,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1988,4130.6754,69.13899037,1
2458,GB,Scup,Fish,Demersal,Benthivore,Small,Other,1988,138.9556,0.61372309,1
2459,GB,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1988,10605.6106,985.6267228,1
2460,GB,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1988,397156.9892,131.7731821,1
2461,GB,Smooth dogfish,Fish,Demersal,Benthivore,Large,Elasmobranch,1988,1837.3752,0,1
2462,GB,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1988,85274.22654,0,1
2463,GB,Summer flounder,Fish,Demersal,Piscivore,Medium,Pleuronectid,1988,2165.415,718.0093402,1
2464,GB,Windowpane,Fish,Demersal,Benthivore,Medium,Pleuronectid,1988,9992.333873,1566.911794,1
2465,GB,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1988,6133,4025.787484,1
2466,GB,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1988,148.8966667,31.92060237,1
2467,GB,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1988,2198,1971.721487,1
2468,GB,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1989,1733.245269,289.9528348,1
2469,GB,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1989,1890.8342,48.38207172,1
2470,GB,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1989,34338.40749,22955.22982,1
2471,GB,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1989,221.2795,8.504984335,1
2472,GB,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1989,6512.201894,2496.560853,1
2473,GB,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1989,196.4865,233.2653409,1
2474,GB,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1989,7.451647059,0.114291125,1
2475,GB,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1989,966.305875,76.16444208,1
2476,GB,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1989,3050.022594,4179.353899,1
2477,GB,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1989,20543,3217.844819,1
2478,GB,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1989,17754.8964,4558.590494,1
2479,GB,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1989,5252.813645,513.4406891,1
2480,GB,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1989,13066.88394,5243.803048,1
2481,GB,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1989,17412.2787,141.2626906,1
2482,GB,Scup,Fish,Demersal,Benthivore,Small,Other,1989,532.416,0.94642176,1
2483,GB,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1989,3365.9691,1763.263899,1
2484,GB,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1989,283323.7559,301.6219645,1
2485,GB,Smooth dogfish,Fish,Demersal,Benthivore,Large,Elasmobranch,1989,228.8590667,0,1
2486,GB,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1989,38958.41665,0,1
2487,GB,Summer flounder,Fish,Demersal,Piscivore,Medium,Pleuronectid,1989,3362.04875,268.0879119,1
2488,GB,Windowpane,Fish,Demersal,Benthivore,Medium,Pleuronectid,1989,6817.29385,1719.191033,1
2489,GB,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1989,5594,2256.313377,1
2490,GB,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1989,627.1721111,107.3974591,1
2491,GB,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1989,4170,1059.806082,1
2492,GB,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1990,1139.165654,104.0923442,1
2493,GB,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1990,6769.8661,161.7661347,1
2494,GB,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1990,53000.58548,31919.51928,1
2495,GB,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1990,95.54163158,11.71169309,1
2496,GB,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1990,47321.18718,12533.02128,1
2497,GB,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1990,221.9495,115.84109,1
2498,GB,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1990,522.109,4.215949142,1
2499,GB,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1990,3659.6555,37.01033763,1
2500,GB,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1990,3422.029186,4044.559331,1
2501,GB,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1990,24388,3760.831907,1
2502,GB,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1990,4840.978267,1084.141231,1
2503,GB,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1990,6505.180452,377.7536228,1
2504,GB,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1990,7056.735925,6497.288867,1
2505,GB,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1990,10219.7063,120.5061638,1
2506,GB,Scup,Fish,Demersal,Benthivore,Small,Other,1990,1019.193,0.39563862,1
2507,GB,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1990,4959.959633,3269.955321,1
2508,GB,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1990,333627.476,1737.557205,1
2509,GB,Smooth dogfish,Fish,Demersal,Benthivore,Large,Elasmobranch,1990,2848.303667,0,1
2510,GB,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1990,291360.4439,19.43510237,1
2511,GB,Summer flounder,Fish,Demersal,Piscivore,Medium,Pleuronectid,1990,1061.92875,80.03225926,1
2512,GB,Windowpane,Fish,Demersal,Benthivore,Medium,Pleuronectid,1990,18132.89355,1318.517413,1
2513,GB,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1990,6094,2102.238266,1
2514,GB,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1990,555.5173333,107.6602052,1
2515,GB,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1990,4750,3323.669599,1
2516,GB,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1991,1167.807808,256.2242371,1
2517,GB,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1991,7645.46665,266.2546503,1
2518,GB,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1991,10450.81967,27817.43289,1
2519,GB,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1991,12.02128947,15.82465444,1
2520,GB,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1991,12449.52581,2192.829347,1
2521,GB,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1991,25366.535,4556.085265,1
2522,GB,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1991,98.72847059,1.081475764,1
2523,GB,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1991,2713.934125,74.910431,1
2524,GB,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1991,918.6145114,2819.424572,1
2525,GB,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1991,22054,4766.695228,1
2526,GB,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1991,16277.8858,3997.469043,1
2527,GB,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1991,9554.155807,722.5974168,1
2528,GB,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1991,11807.11896,9542.157971,1
2529,GB,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1991,3921.3566,65.53174872,1
2530,GB,Scup,Fish,Demersal,Benthivore,Small,Other,1991,1974.5542,0.215625733,1
2531,GB,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1991,2088.2044,4062.613278,1
2532,GB,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1991,261912.2816,2496.001542,1
2533,GB,Smooth dogfish,Fish,Demersal,Benthivore,Large,Elasmobranch,1991,771.0015667,0.5443,1
2534,GB,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1991,97847.67526,0,1
2535,GB,Summer flounder,Fish,Demersal,Piscivore,Medium,Pleuronectid,1991,565.02525,67.60724172,1
2536,GB,Windowpane,Fish,Demersal,Benthivore,Medium,Pleuronectid,1991,2550.310327,1511.128099,1
2537,GB,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1991,6090,2496.476646,1
2538,GB,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1991,462.3033333,56.02202226,1
2539,GB,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1991,3485,3117.817359,1
2540,GB,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1992,1878.375654,613.5189048,1
2541,GB,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1992,5075.1715,271.0282146,1
2542,GB,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1992,23141.1007,14221.31175,1
2543,GB,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1992,71.64167544,8.155279339,1
2544,GB,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1992,56077.31838,9677.330131,1
2545,GB,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1992,16416.30725,2226.290721,1
2546,GB,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1992,441.9475294,7.457240035,1
2547,GB,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1992,1150.619188,78.15982535,1
2548,GB,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1992,1975.133146,4079.607875,1
2549,GB,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1992,16546,5203.638105,1
2550,GB,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1992,8547.163867,2713.930951,1
2551,GB,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1992,7573.346968,227.9713357,1
